"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude"
"IGproject0027","Andrena","wilkella","female",1903,3,24,"England","Surrey","Woking","",3.421,2.389,7.71,2.374,"Andrenidae","excavator","OUMNH",2.17,"Woking, Surrey, England",51.3201891,-0.5564726
"IGproject0028","Andrena","wilkella","male",1900,6,5,"England","Oxfordshire","Oxford","University Parks",3.077,1.985,7.618,2.121,"Andrenidae","excavator","OUMNH",1.985,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132
"IGproject0029","Andrena","wilkella","female",1905,5,24,"England","Oxfordshire","Oxford","University Parks",3.277,2.084,7.946,2.391,"Andrenidae","excavator","OUMNH",2.094,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132
"IGproject0030","Andrena","wilkella","male",1954,6,18,"England","Devon","Bovey Tracey","Chudleigh Knighton Heath",2.898,1.903,7.268,2.056,"Andrenidae","excavator","OUMNH",1.965,"Chudleigh Knighton Heath, Bovey Tracey, Devon, England",50.58100978,-3.64619059
"IGproject0031","Andrena","wilkella","female",1900,7,8,"England","Oxfordshire","Tubney","",3.497,2.226,8.568,2.635,"Andrenidae","excavator","OUMNH",2.274,"Tubney, Oxfordshire, England",51.6852443,-1.3699399
"IGproject0032","Andrena","wilkella","male",1902,5,25,"England","Kent","Faversham","Huntingfield",2.955,1.903,8.009,2.163,"Andrenidae","excavator","OUMNH",1.983,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012
"IGproject0033","Andrena","wilkella","male",1977,7,2,"England","Oxfordshire","Oxford","Sydlings Copse",3.038,1.845,7.453,2.012,"Andrenidae","excavator","OUMNH",2.037,"Sydlings Copse, Oxford, Oxfordshire, England",51.78219916,-1.192042059
"IGproject0034","Andrena","wilkella","male",1949,5,7,"England","Devon","Bovey Tracey","Chudleigh Knighton Heath",2.833,1.936,7.427,2.03,"Andrenidae","excavator","OUMNH",1.919,"Chudleigh Knighton Heath, Bovey Tracey, Devon, England",50.58100978,-3.64619059
"IGproject0035","Andrena","wilkella","male",1990,5,26,"England","Wiltshire","Wroughton","Clouts Wood",3.313,1.965,7.984,2.175,"Andrenidae","excavator","OUMNH",2.248,"Clouts Wood, Wroughton, Wiltshire, England",51.51489206,-1.804044057
"IGproject0036","Andrena","wilkella","male",1900,5,23,"England","Devon","Newton Abbot","",2.957,1.81,7.395,2.092,"Andrenidae","excavator","OUMNH",2,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0037","Andrena","wilkella","female",1905,7,31,"England","Kent","Faversham","Huntingfield",3.494,2.341,7.973,2.495,"Andrenidae","excavator","OUMNH",2.211,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012
"IGproject0038","Andrena","wilkella","female",1900,6,5,"England","Oxfordshire","Oxford","University Parks",3.524,2.291,8.27,2.576,"Andrenidae","excavator","OUMNH",2.241,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132
"IGproject0039","Andrena","wilkella","female",1922,7,20,"England","Devon","Newton Abbot","",3.227,2.194,7.067,2.227,"Andrenidae","excavator","OUMNH",2,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0040","Andrena","wilkella","female",1900,5,24,"England","Oxfordshire","Oxford","University Parks",3.434,2.225,8.227,2.644,"Andrenidae","excavator","OUMNH",2.168,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132
"IGproject0041","Andrena","wilkella","female",1910,7,18,"England","Devon","Budleigh Salterton","",0.031,1.939,7.038,1.95,"Andrenidae","excavator","OUMNH",2.008,"Budleigh Salterton, Devon, England",50.6310504,-3.3299844
"IGproject0042","Andrena","wilkella","male",1904,5,29,"England","Greater London","Wimbledon","",2.937,1.879,7.288,2.05,"Andrenidae","excavator","OUMNH",1.969,"Wimbledon, Greater London, England",51.4214787,-0.2064027
"IGproject0043","Andrena","wilkella","female",1977,6,12,"England","Oxfordshire","Hook Norton","",3.529,2.268,8.264,2.656,"Andrenidae","excavator","OUMNH",2.251,"Hook Norton, Oxfordshire, England",51.9939848,-1.4822644
"IGproject0044","Andrena","wilkella","male",1915,4,20,"England","Gloucestershire","Wotton-under-Edge","",2.849,1.745,7.235,1.837,"Andrenidae","excavator","OUMNH",1.943,"Wotton-under-Edge, Gloucestershire, England",51.6378241,-2.3547251
"IGproject0045","Andrena","wilkella","female",1903,6,26,"England","Surrey","Chobham","",3.261,2.127,7.532,2.403,"Andrenidae","excavator","OUMNH",2.086,"Chobham, Surrey, England",51.3477705,-0.6010128
