"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude"
"IGproject0279","Andrena","chrysosceles","female",1990,5,29,"England","Wiltshire","Swindon","Coate Water Country Park",3.097,1.952,8.394,2.26,"Andrenidae","excavator","OUMNH",NA,"Coate Water Country Park, Swindon, Wiltshire, England",51.53925894,-1.74822582
"IGproject0280","Andrena","chrysosceles","female",1990,5,11,"England","Oxfordshire","North Leigh","North Leigh Common",2.377,1.552,7.16,1.958,"Andrenidae","excavator","OUMNH",NA,"North Leigh Common, North Leigh, Oxfordshire, England",51.8203059,-1.4197065
"IGproject0281","Hylaeus","communis","female",1950,4,2,"England","Devon","Topsham","",1.701,1.333,4.966,1.054,"Colletidae","cavity nester","OUMNH",NA,"Topsham, Devon, England",50.6850732,-3.4658063
"IGproject0282","Hylaeus","communis","male",1948,7,17,"England","Dorset","Witchampton","",1.495,1.046,4.214,0.894,"Colletidae","cavity nester","OUMNH",NA,"Witchampton, Dorset, England",50.8579978,-2.0168718
"IGproject0283","Hylaeus","communis","female",1952,8,22,"England","Devon","Dawlish Warren","",1.538,1.116,4.121,0.933,"Colletidae","cavity nester","OUMNH",NA,"Dawlish Warren, Devon, England",50.5986475,-3.4437159
"IGproject0284","Hylaeus","communis","female",1949,7,9,"England","Devon","Exeter","",1.65,1.298,4.978,1.051,"Colletidae","cavity nester","OUMNH",NA,"Exeter, Devon, England",50.7256138,-3.5269209
"IGproject0285","Hylaeus","communis","male",1897,7,8,"England","Berkshire","Sulhamstead","",1.473,1.088,3.947,0.965,"Colletidae","cavity nester","OUMNH",NA,"Sulhamstead, Berkshire, England",51.4140897,-1.0929427
"IGproject0286","Hylaeus","communis","male",1904,7,NA,"England","Dorset","Lyme Regis","",1.758,1.44,4.82,1.046,"Colletidae","cavity nester","OUMNH",NA,"Lyme Regis, Dorset, England",50.7252897,-2.934559
"IGproject0287","Hylaeus","communis","female",1914,6,18,"England","Cambridgeshire","Wicken","",1.604,1.277,4.932,1.097,"Colletidae","cavity nester","OUMNH",NA,"Wicken, Cambridgeshire, England",52.3126328,0.2994755
"IGproject0288","Hylaeus","communis","male",1903,7,23,"England","Dorset","Lyme Regis","",1.423,0.99,3.996,0.809,"Colletidae","cavity nester","OUMNH",NA,"Lyme Regis, Dorset, England",50.7252897,-2.934559
"IGproject0289","Hylaeus","communis","male",1953,8,12,"England","Devon","Bovey Tracey","Bovey Heathfield",1.489,1.108,4.254,0.924,"Colletidae","cavity nester","OUMNH",NA,"Bovey Heathfield, Bovey Tracey, Devon, England",50.5778633,-3.6644648
"IGproject0290","Hylaeus","communis","male",1948,7,17,"England","Dorset","Witchampton","",1.561,1.221,4.356,0.984,"Colletidae","cavity nester","OUMNH",NA,"Witchampton, Dorset, England",50.8579978,-2.0168718
"IGproject0291","Hylaeus","communis","male",1976,6,26,"England","Devon","Yelverton","Five Oaks",1.566,1.202,4.384,0.928,"Colletidae","cavity nester","OUMNH",NA,"Five Oaks, Yelverton, Devon, England",50.4934281,-4.085997565
"IGproject0292","Hylaeus","communis","male",1977,8,11,"England","Devon","Hawkchurch","",1.444,1.083,4.091,0.9,"Colletidae","cavity nester","OUMNH",NA,"Hawkchurch, Devon, England",50.800438,-2.9354622
"IGproject0293","Hylaeus","communis","male",1982,7,5,"England","Devon","Tavistock","Whitchurch Down",1.519,1.158,4.406,0.979,"Colletidae","cavity nester","OUMNH",NA,"Whitchurch Down, Tavistock, Devon, England",50.5427342,-4.1150225
"IGproject0294","Hylaeus","communis","male",1963,6,22,"England","Dorset","Weymouth","",1.565,1.21,4.497,0.972,"Colletidae","cavity nester","OUMNH",NA,"Weymouth, Dorset, England",50.6096257,-2.4543424
"IGproject0295","Hylaeus","communis","male",1951,8,14,"England","Gloucestershire","Chipping Campden","",1.413,1.057,4.079,0.886,"Colletidae","cavity nester","OUMNH",NA,"Chipping Campden, Gloucestershire, England",52.0496652,-1.7813927
"IGproject0296","Hylaeus","communis","female",1974,6,NA,"England","Devon","Saunton","",1.609,1.219,4.725,1.021,"Colletidae","cavity nester","OUMNH",NA,"Saunton, Devon, England",51.1167185,-4.2093963
"IGproject0297","Hylaeus","communis","female",1977,7,30,"England","Devon","","South Devon - Buckland Down",1.649,1.263,4.679,1.03,"Colletidae","cavity nester","OUMNH",NA,"South Devon - Buckland Down, Devon, England",50.54448152,-3.807963495
"IGproject0298","Hylaeus","communis","male",1974,6,NA,"England","Devon","Saunton","",1.551,1.116,4.397,0.956,"Colletidae","cavity nester","OUMNH",NA,"Saunton, Devon, England",51.1167185,-4.2093963
"IGproject0299","Hylaeus","communis","female",1906,7,21,"England","Kent","Faversham","",1.584,1.263,4.714,0.948,"Colletidae","cavity nester","OUMNH",NA,"Faversham, Kent, England",51.3158434,0.8911283
"IGproject0300","Hylaeus","communis","female",1954,8,3,"England","Dorset","Warmwell","Warmwell Heath",1.708,1.315,5.013,1.076,"Colletidae","cavity nester","OUMNH",NA,"Warmwell Heath, Warmwell, Dorset, England",50.68094,-2.35113
"IGproject0301","Hylaeus","communis","female",1902,8,18,"England","Kent","Faversham","Huntingfield",1.544,1.202,4.572,0.97,"Colletidae","cavity nester","OUMNH",NA,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012
"IGproject0302","Hylaeus","communis","female",1953,8,12,"England","Devon","Bovey Tracey","Bovey Heathfield",1.76,1.368,5.11,1.104,"Colletidae","cavity nester","OUMNH",NA,"Bovey Heathfield, Bovey Tracey, Devon, England",50.5778633,-3.6644648
"IGproject0303","Hylaeus","communis","male",1909,7,12,"England","Hampshire","","New Forest",1.475,0.998,3.977,0.909,"Colletidae","cavity nester","OUMNH",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0304","Hylaeus","communis","female",1974,7,9,"England","Devon","Saunton","",1.482,1.124,4.484,0.923,"Colletidae","cavity nester","OUMNH",NA,"Saunton, Devon, England",51.1167185,-4.2093963
"IGproject0305","Hylaeus","communis","male",1902,8,18,"England","Kent","Faversham","Huntingfield",1.506,1.069,4.219,0.878,"Colletidae","cavity nester","OUMNH",NA,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012
"IGproject0306","Hylaeus","communis","female",1978,7,16,"England","Cornwall","North Petherwin","",1.676,1.301,4.879,1.021,"Colletidae","cavity nester","OUMNH",NA,"North Petherwin, Cornwall, England",50.6931922,-4.4613253
"IGproject0307","Hylaeus","communis","male",1986,7,15,"England","Kent","Higham","",1.437,1.11,4.096,0.903,"Colletidae","cavity nester","OUMNH",NA,"Higham, Kent, England",51.4310457,0.4709558
"IGproject0308","Hylaeus","communis","female",1909,7,15,"England","Hampshire","","New Forest",1.528,1.188,4.634,0.97,"Colletidae","cavity nester","OUMNH",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0309","Hylaeus","communis","female",1909,7,13,"England","Hampshire","","New Forest",1.681,1.33,5.002,1.047,"Colletidae","cavity nester","OUMNH",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0310","Hylaeus","communis","female",1903,7,23,"England","Dorset","Lyme Regis","",1.626,1.29,4.753,1.011,"Colletidae","cavity nester","OUMNH",NA,"Lyme Regis, Dorset, England",50.7252897,-2.934559
"IGproject0311","Nomada","flava","female",1947,5,11,"England","Devon","Sheepstor","",2.576,1.767,8.392,2.263,"Apidae","kleptoparasite","OUMNH",NA,"Sheepstor, Devon, England",50.4908765,-4.0318718
"IGproject0312","Nomada","flava","female",1949,5,1,"England","Devon","Sheepstor","",2.416,1.704,7.891,2.08,"Apidae","kleptoparasite","OUMNH",NA,"Sheepstor, Devon, England",50.4908765,-4.0318718
"IGproject0313","Nomada","flava","female",1915,5,17,"England","Gloucestershire","Wotton-under-Edge","",2.929,1.995,9.868,2.781,"Apidae","kleptoparasite","OUMNH",NA,"Wotton-under-Edge, Gloucestershire, England",51.6378241,-2.3547251
"IGproject0314","Nomada","flava","female",1980,5,13,"England","Devon","","Fernworthy Reservoir",2.56,1.829,8.387,2.348,"Apidae","kleptoparasite","OUMNH",NA,"Fernworthy Reservoir, Devon, England",50.6408514,-3.8883035
"IGproject0315","Nomada","flava","male",1977,5,24,"England","Devon","Newton Abbot","Holne Wood",2.246,1.444,7.386,2.008,"Apidae","kleptoparasite","OUMNH",NA,"Holne Wood, Newton Abbot, Devon, England",50.52062012,-3.836495937
"IGproject0316","Nomada","flava","male",1961,5,13,"England","Devon","Bovey Tracey","Bovey Heathfield",1.919,1.141,6.348,1.59,"Apidae","kleptoparasite","OUMNH",NA,"Bovey Heathfield, Bovey Tracey, Devon, England",50.5778633,-3.6644648
"IGproject0317","Nomada","flava","female",1916,5,NA,"England","Devon","Paignton","",2.73,1.873,9.219,2.565,"Apidae","kleptoparasite","OUMNH",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0318","Nomada","flava","female",1921,4,30,"England","Devon","Newton Abbot","",2.24,1.438,7.468,2.083,"Apidae","kleptoparasite","OUMNH",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0319","Nomada","flava","female",1897,5,NA,"Wales","Monmouthshire","Raglan","",2.884,2.03,9.332,2.411,"Apidae","kleptoparasite","OUMNH",NA,"Raglan, Monmouthshire, Wales",51.7650543,-2.8540602
"IGproject0320","Nomada","flava","female",1982,4,15,"England","Devon","Clapham","Haldon Forest",2.536,1.872,8.508,2.35,"Apidae","kleptoparasite","OUMNH",NA,"Haldon Forest, Clapham, Devon, England",50.6703299,-3.565771
"IGproject0321","Nomada","flava","female",1946,5,4,"England","Devon","Plymouth","Dewerstone Forest, Near Shaugh Prior",2.399,1.631,7.924,2.32,"Apidae","kleptoparasite","OUMNH",NA,"Dewerstone Forest, Near Shaugh Prior, Plymouth, Devon, England",50.45504038,-4.059848681
"IGproject0322","Nomada","flava","male",1916,5,NA,"England","Devon","Paignton","",2.404,1.567,7.621,2.111,"Apidae","kleptoparasite","OUMNH",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0323","Nomada","flava","female",1955,5,22,"England","Devon","Torquay","Coast Path",2.82,1.986,9.609,2.728,"Apidae","kleptoparasite","OUMNH",NA,"Coast Path, Torquay, Devon, England",50.46942104,-3.493802538
"IGproject0324","Nomada","flava","male",1955,5,29,"England","Devon","Bovey Tracey","Bovey Heathfield",2.626,1.861,8.622,2.269,"Apidae","kleptoparasite","OUMNH",NA,"Bovey Heathfield, Bovey Tracey, Devon, England",50.5778633,-3.6644648
"IGproject0325","Nomada","flava","female",1950,5,6,"England","Devon","Exeter","Exwick",2.458,1.628,8.068,2.412,"Apidae","kleptoparasite","OUMNH",NA,"Exwick, Exeter, Devon, England",50.7321721,-3.5501132
"IGproject0326","Nomada","flava","female",1950,5,6,"England","Devon","Exeter","Exwick",2.289,1.407,7.209,1.881,"Apidae","kleptoparasite","OUMNH",NA,"Exwick, Exeter, Devon, England",50.7321721,-3.5501132
"IGproject0327","Nomada","flava","female",1952,5,10,"England","Devon","Newton Abbot","Bradley Woods",2.128,1.313,6.967,1.958,"Apidae","kleptoparasite","OUMNH",NA,"Bradley Woods, Newton Abbot, Devon, England",50.525335,-3.627007989
"IGproject0328","Nomada","flava","male",1992,5,24,"England","Wiltshire","Swindon","Coate Water Country Park",2.468,1.562,7.929,2.141,"Apidae","kleptoparasite","OUMNH",NA,"Coate Water Country Park, Swindon, Wiltshire, England",51.53925894,-1.74822582
"IGproject0329","Nomada","flava","female",1915,5,7,"England","Surrey","Cobham","",2.324,1.569,7.69,2.16,"Apidae","kleptoparasite","OUMNH",NA,"Cobham, Surrey, England",51.3300079,-0.4120821
"IGproject0330","Nomada","flava","female",1973,6,3,"England","Northamptonshire","","Salcey Forest",2.434,1.606,8.017,2.229,"Apidae","kleptoparasite","OUMNH",NA,"Salcey Forest, Northamptonshire, England",52.154843,-0.8391565
"IGproject0331","Nomada","flava","male",1948,5,10,"England","Devon","Barnstaple","",2.814,1.959,9.039,2.373,"Apidae","kleptoparasite","OUMNH",NA,"Barnstaple, Devon, England",51.0804057,-4.0600467
"IGproject0332","Nomada","flava","male",1949,5,7,"England","Devon","Chudleigh","",2.417,1.54,7.725,2.157,"Apidae","kleptoparasite","OUMNH",NA,"Chudleigh, Devon, England",50.6156543,-3.5869448
"IGproject0333","Nomada","flava","male",1950,5,6,"England","Devon","Exeter","Exwick",2.891,2.015,9.235,2.518,"Apidae","kleptoparasite","OUMNH",NA,"Exwick, Exeter, Devon, England",50.7321721,-3.5501132
"IGproject0334","Nomada","flava","female",1916,5,NA,"England","Devon","Paignton","",2.66,1.834,9.054,2.589,"Apidae","kleptoparasite","OUMNH",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0335","Nomada","flava","male",1972,5,14,"England","Devon","Lydford","High Down",2.667,1.955,8.611,2.353,"Apidae","kleptoparasite","OUMNH",NA,"High Down, Lydford, Devon, England",50.64381702,-4.112981204
"IGproject0336","Nomada","flava","male",1949,5,14,"England","Devon","Woodbury","",2.441,1.486,7.536,2.051,"Apidae","kleptoparasite","OUMNH",NA,"Woodbury, Devon, England",50.6759768,-3.4061001
"IGproject0337","Nomada","flava","male",1949,5,2,"England","Devon","Instow","",2.916,1.856,9.425,2.499,"Apidae","kleptoparasite","OUMNH",NA,"Instow, Devon, England",51.0564265,-4.1694841
"IGproject0338","Nomada","flava","male",1949,5,7,"England","Devon","Chudleigh","",2.845,1.982,9.186,2.531,"Apidae","kleptoparasite","OUMNH",NA,"Chudleigh, Devon, England",50.6156543,-3.5869448
"IGproject0339","Nomada","flava","male",1952,4,26,"England","Devon","Sheepstor","Gutter Tor",2.511,1.752,8.071,2.138,"Apidae","kleptoparasite","OUMNH",NA,"Gutter Tor, Sheepstor, Devon, England",50.4883193,-4.0047507
"IGproject0340","Nomada","flava","male",1921,4,26,"England","Devon","Newton Abbot","",2.775,1.749,8.878,2.321,"Apidae","kleptoparasite","OUMNH",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0341","Andrena","wilkella","female",1910,6,18,"England","Devon","Budleigh Salterton","",3.384,2.245,7.848,2.548,"Andrenidae","excavator","OUMNH",NA,"Budleigh Salterton, Devon, England",50.6310504,-3.3299844
"IGproject0342","Andrena","wilkella","male",1910,6,14,"England","Devon","Budleigh Salterton","",2.896,1.828,7.377,2.006,"Andrenidae","excavator","OUMNH",NA,"Budleigh Salterton, Devon, England",50.6310504,-3.3299844
"IGproject0343","Andrena","wilkella","male",1922,5,14,"England","Devon","Newton Abbot","",3.001,2.005,7.557,2.041,"Andrenidae","excavator","OUMNH",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0344","Andrena","wilkella","female",1907,5,9,"England","Surrey","Oxshott","",3.422,2.344,7.812,2.514,"Andrenidae","excavator","OUMNH",NA,"Oxshott, Surrey, England",51.3361004,-0.3625418
"IGproject0345","Andrena","wilkella","male",1900,5,28,"England","Berkshire","Newbury","",3.083,2.036,7.732,2.175,"Andrenidae","excavator","OUMNH",NA,"Newbury, Berkshire, England",51.4020243,-1.3242212
"IGproject0346","Andrena","wilkella","male",1898,6,2,"England","Buckinghamshire","Great Missenden","",2.95,1.847,7.546,2.091,"Andrenidae","excavator","OUMNH",NA,"Great Missenden, Buckinghamshire, England",51.7046508,-0.7086592
"IGproject0347","Andrena","wilkella","female",1915,5,24,"England","Devon","Brixham","",3.491,2.257,8.321,2.661,"Andrenidae","excavator","OUMNH",NA,"Brixham, Devon, England",50.3952404,-3.514544
"IGproject0348","Andrena","wilkella","female",1915,5,20,"England","Gloucestershire","Wotton-under-Edge","",3.621,2.375,8.266,2.769,"Andrenidae","excavator","OUMNH",NA,"Wotton-under-Edge, Gloucestershire, England",51.6378241,-2.3547251
"IGproject0349","Andrena","wilkella","female",1910,6,14,"England","Devon","Budleigh Salterton","",3.302,2.161,7.79,2.48,"Andrenidae","excavator","OUMNH",NA,"Budleigh Salterton, Devon, England",50.6310504,-3.3299844
"IGproject0350","Andrena","wilkella","female",1908,6,14,"England","Greater Manchester","Sale","",3.348,2.151,7.925,2.698,"Andrenidae","excavator","OUMNH",NA,"Sale, Greater Manchester, England",53.4244939,-2.318415
"IGproject0351","Andrena","wilkella","male",1904,5,15,"England","Greater London","Northwood","",2.982,1.925,7.512,2.081,"Andrenidae","excavator","OUMNH",NA,"Northwood, Greater London, England",51.6051713,-0.4205812
"IGproject0352","Andrena","wilkella","male",1900,5,29,"England","Hampshire","","New Forest",3.025,1.92,7.764,2.167,"Andrenidae","excavator","OUMNH",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0353","Andrena","wilkella","female",1900,5,29,"England","Berkshire","Newbury","",3.438,2.254,8.13,2.697,"Andrenidae","excavator","OUMNH",NA,"Newbury, Berkshire, England",51.4020243,-1.3242212
"IGproject0354","Andrena","wilkella","male",1904,5,22,"England","Hampshire","","New Forest",2.907,1.632,7.256,2.072,"Andrenidae","excavator","OUMNH",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0355","Andrena","wilkella","female",1953,6,1,"England","Oxfordshire","Abingdon","Cothill",3.335,2.1,8.033,2.612,"Andrenidae","excavator","OUMNH",NA,"Cothill, Abingdon, Oxfordshire, England",51.69591033,-1.3292552
"IGproject0356","Andrena","wilkella","male",1900,5,15,"England","Essex","Theydon Bois","",2.876,1.712,7.125,2.049,"Andrenidae","excavator","OUMNH",NA,"Theydon Bois, Essex, England",51.6717759,0.1033213
"IGproject0357","Andrena","wilkella","male",1899,6,NA,"England","Cambridgeshire","Wicken","",2.994,1.879,7.477,2.124,"Andrenidae","excavator","OUMNH",NA,"Wicken, Cambridgeshire, England",52.3126328,0.2994755
"IGproject0358","Andrena","wilkella","male",1900,5,18,"England","Berkshire","Newbury","",2.942,1.787,7.384,2.046,"Andrenidae","excavator","OUMNH",NA,"Newbury, Berkshire, England",51.4020243,-1.3242212
"IGproject0359","Andrena","wilkella","female",1905,5,24,"Wales","Gwynedd","Criccieth","",3.538,2.451,8.438,2.8,"Andrenidae","excavator","OUMNH",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0360","Andrena","wilkella","male",1949,6,7,"England","Devon","Exminster","",2.996,1.898,7.395,2.088,"Andrenidae","excavator","OUMNH",NA,"Exminster, Devon, England",50.6785394,-3.4955657
"IGproject0361","Andrena","wilkella","female",1915,6,2,"England","Devon","Paignton","",3.411,2.174,8.255,2.524,"Andrenidae","excavator","OUMNH",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0362","Andrena","wilkella","female",1923,6,5,"England","Devon","Newton Abbot","",3.416,2.257,8.073,2.517,"Andrenidae","excavator","OUMNH",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0363","Andrena","wilkella","female",1923,6,15,"England","Devon","Newton Abbot","",3.44,2.202,8.124,2.584,"Andrenidae","excavator","OUMNH",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0364","Andrena","wilkella","female",1896,5,5,"England","Wiltshire","Sopworth","",3.21,2.048,7.793,2.475,"Andrenidae","excavator","OUMNH",NA,"Sopworth, Wiltshire, England",51.5806236,-2.2507317
"IGproject0365","Andrena","wilkella","male",1900,5,28,"England","Berkshire","Newbury","",2.991,1.896,7.565,2.091,"Andrenidae","excavator","OUMNH",NA,"Newbury, Berkshire, England",51.4020243,-1.3242212
"IGproject0366","Andrena","wilkella","male",1900,5,25,"England","Berkshire","Newbury","",2.834,1.841,7.293,2.015,"Andrenidae","excavator","OUMNH",NA,"Newbury, Berkshire, England",51.4020243,-1.3242212
"IGproject0367","Andrena","wilkella","female",1918,5,NA,"England","Devon","Paignton","",3.32,2.21,8.361,2.477,"Andrenidae","excavator","OUMNH",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0368","Andrena","wilkella","female",1905,6,22,"England","Surrey","Oxshott","",3.396,2.176,7.967,2.486,"Andrenidae","excavator","OUMNH",NA,"Oxshott, Surrey, England",51.3361004,-0.3625418
"IGproject0369","Andrena","wilkella","female",1899,6,NA,"England","Cambridgeshire","Wicken","",3.51,2.322,8.217,2.667,"Andrenidae","excavator","OUMNH",NA,"Wicken, Cambridgeshire, England",52.3126328,0.2994755
"IGproject0370","Andrena","wilkella","female",1905,6,4,"England","Surrey","Chobham","",3.448,2.146,8.211,2.618,"Andrenidae","excavator","OUMNH",NA,"Chobham, Surrey, England",51.3477705,-0.6010128
"IGproject0371","Andrena","wilkella","female",1904,6,17,"England","Surrey","Chobham","",3.353,2.241,8.014,2.624,"Andrenidae","excavator","OUMNH",NA,"Chobham, Surrey, England",51.3477705,-0.6010128
"IGproject0372","Anthidium","manicatum","female",1946,7,29,"England","Greater London","Osterley","",4.309,3.729,10.167,3.087,"Megachilidae","cavity nester","OUMNH",NA,"Osterley, Greater London, England",51.4815507,-0.3518348
"IGproject0373","Anthidium","manicatum","female",1905,7,15,"England","Oxfordshire","Oxford","Lye Valley",3.927,3.302,9.067,2.782,"Megachilidae","cavity nester","OUMNH",NA,"Lye Valley, Oxford, Oxfordshire, England",51.7455776,-1.2056501
"IGproject0374","Anthidium","manicatum","male",1900,7,20,"Wales","Gwynedd","Criccieth","",4.407,3.705,11.012,3.491,"Megachilidae","cavity nester","OUMNH",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0375","Anthidium","manicatum","male",1938,7,29,"England","Oxfordshire","Oxford","Sunnymead",4.392,3.506,10.723,3.361,"Megachilidae","cavity nester","OUMNH",NA,"Sunnymead, Oxford, Oxfordshire, England",51.7838335,-1.2642666
"IGproject0376","Anthidium","manicatum","female",1966,6,16,"England","Devon","Paignton","",4.242,3.537,9.42,2.942,"Megachilidae","cavity nester","OUMNH",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0377","Anthidium","manicatum","female",1909,6,NA,"England","Gloucestershire","Wotton-under-Edge","Alderley",4.128,3.397,9.155,2.774,"Megachilidae","cavity nester","OUMNH",NA,"Alderley, Wotton-under-Edge, Gloucestershire, England",51.615194,-2.332701286
"IGproject0378","Anthidium","manicatum","female",1905,7,22,"England","Dorset","Lyme Regis","",4.047,3.509,9.149,2.889,"Megachilidae","cavity nester","OUMNH",NA,"Lyme Regis, Dorset, England",50.7252897,-2.934559
"IGproject0379","Anthidium","manicatum","male",1952,7,30,"England","Northamptonshire","Aynho","",4.712,4.154,11.624,3.776,"Megachilidae","cavity nester","OUMNH",NA,"Aynho, Northamptonshire, England",51.9948605,-1.2520728
"IGproject0380","Anthidium","manicatum","male",1915,7,25,"England","Devon","Dartmoor","East Dartmoor",4.67,4.288,12.267,3.802,"Megachilidae","cavity nester","OUMNH",NA,"East Dartmoor, Dartmoor, Devon, England",50.486085,-3.9856305
"IGproject0381","Anthidium","manicatum","male",1904,7,9,"England","Hampshire","","New Forest",4.321,3.721,10.444,3.306,"Megachilidae","cavity nester","OUMNH",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0382","Anthidium","manicatum","female",1898,7,NA,"Wales","Gwynedd","Criccieth","",4.074,3.449,9.005,2.745,"Megachilidae","cavity nester","OUMNH",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0383","Anthidium","manicatum","male",1897,7,18,"England","Oxfordshire","Oxford","Shotover",4.442,3.8,11.711,3.86,"Megachilidae","cavity nester","OUMNH",NA,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0384","Anthidium","manicatum","female",1907,7,21,"England","Hampshire","","New Forest",3.77,3.115,8.28,2.429,"Megachilidae","cavity nester","OUMNH",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0385","Anthidium","manicatum","male",1897,7,18,"England","Oxfordshire","Oxford","Shotover",4.36,3.866,10.791,3.459,"Megachilidae","cavity nester","OUMNH",NA,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0386","Anthidium","manicatum","male",1897,7,18,"England","Oxfordshire","Oxford","Shotover",4.549,3.899,11.597,3.865,"Megachilidae","cavity nester","OUMNH",NA,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0387","Anthidium","manicatum","male",1950,7,27,"England","Northamptonshire","Aynho","",4.246,3.463,9.911,3.022,"Megachilidae","cavity nester","OUMNH",NA,"Aynho, Northamptonshire, England",51.9948605,-1.2520728
"IGproject0388","Anthidium","manicatum","male",1898,7,NA,"Wales","Gwynedd","Criccieth","",4.543,3.916,11.497,3.54,"Megachilidae","cavity nester","OUMNH",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0389","Anthidium","manicatum","female",1906,7,20,"England","Hampshire","","New Forest",4.178,3.54,9.448,2.802,"Megachilidae","cavity nester","OUMNH",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0390","Anthidium","manicatum","female",1930,9,10,"England","Devon","Newton Abbot","",3.813,3.189,8.536,2.554,"Megachilidae","cavity nester","OUMNH",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0391","Anthidium","manicatum","female",1977,9,5,"England","Oxfordshire","Abingdon","Dry Sandford Pit",4.086,3.384,9.102,2.751,"Megachilidae","cavity nester","OUMNH",NA,"Dry Sandford Pit, Abingdon, Oxfordshire, England",51.69478825,-1.32635399
"IGproject0392","Anthidium","manicatum","female",1897,7,NA,"Wales","Gwynedd","Criccieth","",4.103,3.463,9.061,2.867,"Megachilidae","cavity nester","OUMNH",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0393","Anthidium","manicatum","female",1904,7,NA,"England","Dorset","Lyme Regis","",4.251,3.596,9.597,3.077,"Megachilidae","cavity nester","OUMNH",NA,"Lyme Regis, Dorset, England",50.7252897,-2.934559
"IGproject0394","Anthidium","manicatum","female",1905,7,20,"England","Dorset","Lyme Regis","",4.123,3.495,8.984,2.866,"Megachilidae","cavity nester","OUMNH",NA,"Lyme Regis, Dorset, England",50.7252897,-2.934559
"IGproject0395","Anthidium","manicatum","female",1900,7,7,"Wales","Gwynedd","Criccieth","",4.136,3.532,9.245,2.781,"Megachilidae","cavity nester","OUMNH",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0396","Anthidium","manicatum","female",1914,6,24,"England","Devon","Paignton","",4.116,3.434,9.068,2.72,"Megachilidae","cavity nester","OUMNH",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0397","Anthidium","manicatum","male",1919,8,NA,"England","Surrey","Guildford","",4.651,4.018,11.979,3.863,"Megachilidae","cavity nester","OUMNH",NA,"Guildford, Surrey, England",51.2356068,-0.5732063
"IGproject0398","Anthidium","manicatum","male",1926,7,NA,"England","Devon","Newton Abbot","",3.825,3.24,8.764,2.892,"Megachilidae","cavity nester","OUMNH",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0399","Anthidium","manicatum","male",1898,7,NA,"Wales","Gwynedd","Criccieth","",4.537,3.9,11.407,3.609,"Megachilidae","cavity nester","OUMNH",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0400","Anthidium","manicatum","male",1948,8,1,"England","Oxfordshire","Oxford","Hinksey",4.228,3.554,10.311,3.302,"Megachilidae","cavity nester","OUMNH",NA,"Hinksey, Oxford, Oxfordshire, England",51.7363525,-1.2575581
"IGproject0401","Anthidium","manicatum","male",1900,7,NA,"England","Worcestershire","Kidderminster","Wyre Forest",4.247,3.659,10.322,3.106,"Megachilidae","cavity nester","OUMNH",NA,"Wyre Forest, Kidderminster, Worcestershire, England",52.396247,-2.2469773
