"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude","full_name","mean_preflight_temp","sd_preflight_temp","max_preflight_monthly_mean","max_preflight_temp"
"IGproject0031","Andrena","wilkella","female",1900,7,8,"England","Oxfordshire","Tubney","",3.497,2.226,8.568,2.635,"Andrenidae","excavator","OUMNH",2.274,"Tubney, Oxfordshire, England",51.6852443,-1.3699399,"Andrena wilkella",11.3757244967194,3.85950965878034,15.654284530761,21.9175616811376
"IGproject0032","Andrena","wilkella","male",1902,5,25,"England","Kent","Faversham","Huntingfield",2.955,1.903,8.009,2.163,"Andrenidae","excavator","OUMNH",1.983,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012,"Andrena wilkella",10.8595952532181,2.90530364402879,13.8746022746256,19.1756978798996
"IGproject0033","Andrena","wilkella","male",1977,7,2,"England","Oxfordshire","Oxford","Sydlings Copse",3.038,1.845,7.453,2.012,"Andrenidae","excavator","OUMNH",2.037,"Sydlings Copse, Oxford, Oxfordshire, England",51.78219916,-1.192042059,"Andrena wilkella",12.9027534532801,4.93470771494334,17.9638501005093,24.0892880547192
"IGproject0034","Andrena","wilkella","male",1949,5,7,"England","Devon","Bovey Tracey","Chudleigh Knighton Heath",2.833,1.936,7.427,2.03,"Andrenidae","excavator","OUMNH",1.919,"Chudleigh Knighton Heath, Bovey Tracey, Devon, England",50.58100978,-3.64619059,"Andrena wilkella",12.0337359141115,2.46414761095887,14.3040826911781,18.3754285477207
"IGproject0035","Andrena","wilkella","male",1990,5,26,"England","Wiltshire","Wroughton","Clouts Wood",3.313,1.965,7.984,2.175,"Andrenidae","excavator","OUMNH",2.248,"Clouts Wood, Wroughton, Wiltshire, England",51.51489206,-1.804044057,"Andrena wilkella",11.466926820665,4.41536434528185,14.6752525075847,20.3019971788621
"IGproject0036","Andrena","wilkella","male",1900,5,23,"England","Devon","Newton Abbot","",2.957,1.81,7.395,2.092,"Andrenidae","excavator","OUMNH",2,"Newton Abbot, Devon, England",50.5296441,-3.6112097,"Andrena wilkella",11.7113754797153,3.697104410692,15.813931998233,21.0607982543192
"IGproject0037","Andrena","wilkella","female",1905,7,31,"England","Kent","Faversham","Huntingfield",3.494,2.341,7.973,2.495,"Andrenidae","excavator","OUMNH",2.211,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012,"Andrena wilkella",10.9906135158848,2.36102862415337,13.3826545181693,18.0756144957332
"IGproject0038","Andrena","wilkella","female",1900,6,5,"England","Oxfordshire","Oxford","University Parks",3.524,2.291,8.27,2.576,"Andrenidae","excavator","OUMNH",2.241,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132,"Andrena wilkella",11.6982605782757,3.83580691691909,15.94623115793,21.8614811825846
"IGproject0039","Andrena","wilkella","female",1922,7,20,"England","Devon","Newton Abbot","",3.227,2.194,7.067,2.227,"Andrenidae","excavator","OUMNH",2,"Newton Abbot, Devon, England",50.5296441,-3.6112097,"Andrena wilkella",12.4720220929822,3.22215514304305,15.7948979186044,20.9719116664217
"IGproject0040","Andrena","wilkella","female",1900,5,24,"England","Oxfordshire","Oxford","University Parks",3.434,2.225,8.227,2.644,"Andrenidae","excavator","OUMNH",2.168,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132,"Andrena wilkella",11.6982605782757,3.83580691691909,15.94623115793,21.8614811825846
