label_no,genus,species,sex,year,month,day,country,county,city_town_village,specific_location,HW_mm,intertegular_distance_mm,FW_length_mm,tibia_length_mm,family,ecology,interocular_distance_mm
IGproject0041,Andrena,wilkella,female,1910,7,18,England,Devon,Budleigh Salterton,,0.031,1.939,7.038,1.95,Andrenidae,excavator,2.008
IGproject0042,Andrena,wilkella,male,1904,5,29,England,Greater London,Wimbledon,,2.937,1.879,7.288,2.05,Andrenidae,excavator,1.969
IGproject0043,Andrena,wilkella,female,1977,6,12,England,Oxfordshire,Hook Norton,,3.529,2.268,8.264,2.656,Andrenidae,excavator,2.251
IGproject0044,Andrena,wilkella,male,1915,4,20,England,Gloucestershire,Wotton-under-Edge,,2.849,1.745,7.235,1.837,Andrenidae,excavator,1.943
IGproject0045,Andrena,wilkella,female,1903,6,26,England,Surrey,Chobham,,3.261,2.127,7.532,2.403,Andrenidae,excavator,2.086
IGproject0046,Hylaeus,communis,female,1904,7,,England,Dorset,Lyme Regis,,1.642,1.318,5.086,1.049,Colletidae,cavity nester,1.091
IGproject0047,Hylaeus,communis,female,1979,7,12,England,Devon,Newton Abbot,Teign Valley,1.671,1.24,4.948,1.037,Colletidae,cavity nester,1.101
IGproject0048,Hylaeus,communis,female,1948,7,26,England,Oxfordshire,Coleshill,,1.581,1.191,4.648,0.987,Colletidae,cavity nester,1.038
IGproject0049,Hylaeus,communis,male,1905,7,8,England,Dorset,Lyme Regis,,1.504,1.152,4.342,0.939,Colletidae,cavity nester,0.953
IGproject0050,Hylaeus,communis,male,1978,6,16,England,Devon,Diptford,,1.437,1.073,4.011,0.897,Colletidae,cavity nester,0.968
IGproject0051,Hylaeus,communis,male,1980,6,24,England,Devon,Milton Combe,,1.567,1.244,4.406,0.988,Colletidae,cavity nester,1.02
IGproject0052,Hylaeus,communis,female,1902,9,6,England,Kent,Faversham,Huntingfield,1.499,1.138,4.476,0.941,Colletidae,cavity nester,0.996
IGproject0053,Hylaeus,communis,male,1902,8,12,England,Kent,Faversham,Huntingfield,1.592,1.144,4.608,0.986,Colletidae,cavity nester,1.011
IGproject0054,Hylaeus,communis,female,1969,3,9,England,Hertfordshire,Harpenden,Hatching Green,1.657,1.248,4.919,0.993,Colletidae,cavity nester,1.085
IGproject0055,Hylaeus,communis,male,2005,7,19,England,Surrey,Richmond,Ham House,1.49,1.154,4.241,0.92,Colletidae,cavity nester,0.95
IGproject0056,Hylaeus,communis,male,1949,6,7,England,Devon,Axminster,,1.538,1.126,4.444,0.963,Colletidae,cavity nester,0.981
IGproject0057,Hylaeus,communis,female,1897,7,11,England,Berkshire,Reading,Sulhamstead Park,1.737,1.309,5.222,1.008,Colletidae,cavity nester,1.112
IGproject0058,Nomada,goodeniana,female,1990,7,18,England,Devon,Salcombe Regis,,3.032,2.048,9.062,2.414,Apidae,kleptoparasite,1.997
IGproject0059,Nomada,goodeniana,female,1903,5,18,Wales,Gwynedd,Criccieth,,3.222,2.284,9.782,2.835,Apidae,kleptoparasite,2.103
IGproject0060,Nomada,goodeniana,male,1916,4,22,England,Oxfordshire,Tubney,,2.843,1.916,8.883,2.403,Apidae,kleptoparasite,1.905
IGproject0061,Nomada,goodeniana,male,1896,,,England,Gloucestershire,Doddington,,3.029,1.985,9.415,2.566,Apidae,kleptoparasite,2.055
IGproject0062,Nomada,goodeniana,male,1917,5,3,England,Devon,Brixham,,2.314,1.534,7.09,1.983,Apidae,kleptoparasite,1.635
IGproject0063,Nomada,goodeniana,female,1910,6,1,England,Devon,Littleham,,3.257,2.219,10.096,2.832,Apidae,kleptoparasite,2.183
IGproject0064,Nomada,goodeniana,female,1928,4,21,England,Devon,Newton Abbot,,3.185,2.372,9.971,2.638,Apidae,kleptoparasite,2.151
IGproject0065,Nomada,goodeniana,female,1991,4,26,England,Devon,Croyde,,3.347,2.367,10.436,2.807,Apidae,kleptoparasite,2.208
IGproject0066,Nomada,goodeniana,male,1949,4,18,England,Oxfordshire,Chastleton,,2.36,1.486,7.029,1.959,Apidae,kleptoparasite,1.666
IGproject0067,Nomada,goodeniana,female,1937,5,28,England,Greater London,Wimbledon,,3.011,2.124,9.116,2.515,Apidae,kleptoparasite,1.958
IGproject0068,Nomada,goodeniana,female,1954,4,16,England,Devon,Torquay,,3.168,2.243,9.924,2.765,Apidae,kleptoparasite,2.086
IGproject0069,Nomada,goodeniana,male,1954,4,29,England,Devon,Lustleigh,,2.715,1.755,8.14,2.184,Apidae,kleptoparasite,1.857
IGproject0070,Nomada,goodeniana,female,1949,4,29,England,Devon,Exeter,,2.962,1.859,8.801,2.482,Apidae,kleptoparasite,2.006
IGproject0071,Nomada,goodeniana,female,1936,5,27,England,Berkshire,Slough,,2.93,1.906,9.047,2.397,Apidae,kleptoparasite,1.938
IGproject0072,Nomada,goodeniana,male,1903,5,18,Wales,Gwynedd,Criccieth,,2.774,1.864,8.704,2.284,Apidae,kleptoparasite,1.934
IGproject0073,Nomada,goodeniana,female,1914,4,20,England,Devon,Budleigh Salterton,,2.936,1.91,8.907,2.471,Apidae,kleptoparasite,1.935
IGproject0074,Nomada,goodeniana,male,1915,4,30,England,Devon,Brixham,,3.223,2.197,10.305,2.826,Apidae,kleptoparasite,2.215
IGproject0075,Nomada,goodeniana,male,1902,5,18,England,Kent,Faversham,Huntingfield,2.952,1.963,8.989,2.407,Apidae,kleptoparasite,1.938
IGproject0076,Nomada,goodeniana,male,1909,5,9,England,Oxfordshire,Oxford,Shotover,2.933,2.01,8.812,2.442,Apidae,kleptoparasite,1.954
IGproject0077,Nomada,goodeniana,female,1953,8,10,England,Devon,Dawlish,,2.844,1.86,8.422,2.384,Apidae,kleptoparasite,1.879
IGproject0078,Nomada,goodeniana,female,1910,6,8,England,Devon,Budleigh Salterton,,3.196,2.103,9.852,2.829,Apidae,kleptoparasite,2.114
IGproject0079,Nomada,goodeniana,male,1900,4,21,England,Surrey,Woking,,3.108,2.203,9.466,2.564,Apidae,kleptoparasite,2.095
IGproject0080,Nomada,goodeniana,female,1941,6,2,England,Hampshire,Burley,,3.167,2.167,9.681,2.769,Apidae,kleptoparasite,2.034
IGproject0081,Nomada,goodeniana,female,1900,6,3,England,Oxfordshire,Oxford,Shotover,2.715,1.731,8.141,2.39,Apidae,kleptoparasite,1.853
IGproject0082,Nomada,goodeniana,female,1983,1,28,England,Berkshire,Slough,Langley,2.705,1.74,8.177,2.325,Apidae,kleptoparasite,1.85
IGproject0083,Nomada,goodeniana,female,1991,5,22,England,Hampshire,Bramshaw,,2.716,1.763,8.231,2.365,Apidae,kleptoparasite,1.763
IGproject0084,Nomada,goodeniana,female,1917,5,3,England,Surrey,Guildford,Merrow,2.925,1.973,8.945,2.55,Apidae,kleptoparasite,1.97
IGproject0085,Nomada,goodeniana,female,1954,4,16,England,Devon,Torquay,,3.161,2.145,9.751,2.706,Apidae,kleptoparasite,2.187
IGproject0086,Nomada,goodeniana,female,1955,5,20,England,Devon,Dawlish,,3.21,2.232,9.795,2.634,Apidae,kleptoparasite,2.145
IGproject0087,Nomada,goodeniana,female,1977,6,12,England,Oxfordshire,Hook Norton,,3.011,2.014,9.361,2.579,Apidae,kleptoparasite,2.025
IGproject0088,Nomada,sp.,female,1916,5,21,England,Devon,Newton Abbot,,2.461,1.63,8.159,2.287,Apidae,kleptoparasite,1.54
IGproject0089,Nomada,sp.,female,1916,5,22,England,Devon,Bovey Tracey,,2.397,1.509,8.095,2.163,Apidae,kleptoparasite,1.627
IGproject0090,Lasioglossum,fulvicorne,female,1998,5,21,England,Devon,Salcombe,Coast Path,1.836,1.324,5.315,1.331,Halictidae,excavator,1.15
